month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldpviews_per_property_mm,ldpviews_per_property_yy,ldpviews_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us
202010,94561,"oakley, ca",2505,1758,604,-216,79.119931,68.73480273,89.50505922,41,-0.1633,-8,-0.1183,-5.5,-12,-0.3096,1.2305,1.9926,589050,0.0434,0.0907,1.6833
202010,94086,"sunnyvale, ca",635,5966,1123,-585,52.494313,96.94093654,8.047690015,21,-0.3438,-11,-0.2881,-8.5,-32,-0.0377,0.0625,0.375,1399050,0.0409,0.0855,3.9983
202010,94609,"oakland, ca",4363,4652,1374,-2115,60.181191,94.04659189,26.31578947,24,-0.3043,-10.5,0.0213,0.5,-29,0.0055,0.2727,0.6691,978050,-0.0186,0.189,2.7951
202010,94566,"pleasanton, ca",1308,1286,1937,822,82.951604,82.50843203,83.39477606,34,-0.2093,-9,-0.1707,-7,-19,0.1059,1.5134,1.7279,1300049,0.0023,-0.1201,3.7153
202010,94602,"oakland, ca",2916,2716,9,-1734,72.237038,90.67377834,53.80029806,28,-0.1111,-3.5,0.1667,4,-25,-0.1471,0.4872,1.0662,899050,0.0228,0.1423,2.5693
202010,94509,"antioch, ca",384,844,1364,1181,86.798965,90.67377834,82.92415091,28,-0.3412,-14.5,-0.2113,-7.5,-25,-0.1543,1.7093,1.7132,459938,0.0381,0.0514,1.3143
202010,94506,"danville, ca",5208,1096,682,1300,84.555651,83.88108871,85.23021413,33,-0.0704,-2.5,-0.3465,-17.5,-20,0.0358,1.2466,1.8088,1995050,0.0426,0.1653,5.7016
202010,94541,"hayward, ca",334,2075,-692,-748,76.704055,71.25264727,82.15546317,39,0.3929,11,0.04,1.5,-14,0.055,1.233,1.6912,730050,0.007,0.1232,2.0863
202010,94521,"concord, ca",1439,564,15,414,89.744294,90.67377834,88.814809,28,-0.0508,-1.5,-0.2432,-9,-25,-0.2024,1.375,1.9559,649950,-0.0782,0.0194,1.8574
202010,94507,"alamo, ca",7738,2602,-893,1024,73.033179,61.47933171,84.58702643,44,0.2754,9.5,-0.3231,-21,-9,0.0364,0.8403,1.7794,2450050,-0.0919,0.2587,7.002
202010,95050,"santa clara, ca",1758,6878,-1310,-5056,47.238999,79.66899365,14.80900463,35,0.5556,12.5,0.2963,8,-18,-0.0423,-0.1707,0.5,1099850,-0.1201,-0.1454,3.1432
202010,94043,"mountain view, ca",2380,7368,701,-1067,44.368186,83.88108871,4.855282767,33,-0.1316,-5,-0.0959,-3.5,-20,-0.1717,-0.0989,0.3015,1558050,0.0563,0.1569,4.4527
202010,95129,"san jose, ca",1950,6494,-522,3315,49.423484,88.9638403,9.883128088,29,0.3182,7,-0.536,-33.5,-24,-0.0508,0.1789,0.4118,1399050,-0.1464,0.5738,3.9983
202010,94568,"dublin, ca",1043,854,702,266,86.74798,94.04659189,79.44936858,24,-0.0588,-1.5,-0.3514,-13,-29,0.0927,1.0185,1.6029,899938,0.0373,0.0124,2.5718
202010,94605,"oakland, ca",1418,4331,-187,-2876,62.349988,77.05702408,47.64295239,36,0.1613,5,0.2414,7,-17,0.0602,0.4749,0.9706,649050,-8.00E-04,0.0538,1.8548
202010,94533,"fairfield, ca",199,227,1907,1998,94.650561,94.04659189,95.25452977,24,-0.4607,-20.5,-0.4286,-18,-29,0.0671,2.5914,2.4559,445050,0.0115,0.0242,1.2718
202010,94603,"oakland, ca",4769,4975,961,-3003,58.149659,71.25264727,45.04667033,39,0,0,0.3,9,-14,0.1545,0.5488,0.9338,511550,-0.0605,0.0292,1.4618
202010,94303,"palo alto, ca",2385,8002,1176,-3363,40.309044,70.20158444,10.41650326,40,-0.1579,-7.5,0,0,-13,-0.0656,-0.0806,0.4191,1400038,0.009,0.1686,4.0011
202010,94588,"pleasanton, ca",3268,1568,-66,85,80.739666,74.86077339,86.61855832,37,0.1045,3.5,-0.0976,-4,-16,0.0496,1.478,1.8676,1000050,0.0035,-0.0162,2.858
202010,94801,"richmond, ca",4554,8134,-3514,-4122,39.512903,34.8733234,44.15248255,60,0.4634,19,0.4815,19.5,7,-0.1611,0.8382,0.9191,480050,0.0011,0,1.3718
202010,94708,"berkeley, ca",8358,1357,-874,-818,82.300573,96.01537375,68.58577143,22,0.1,2,-0.2667,-8,-31,-0.3453,0.569,1.3382,1449050,0.0357,0.1387,4.1412
202010,94597,"walnut creek, ca",3891,2284,130,-1774,75.194133,87.6774649,62.71080085,30,0.0169,0.5,-0.1045,-3.5,-23,-0.0514,0.3333,1.2206,839050,0.0468,0.0932,2.3978
202010,94563,"orinda, ca",6671,4422,-405,-1676,61.832301,73.08808534,50.57651581,38,-0.0843,-3.5,-0.2165,-10.5,-15,-0.193,0.4154,1.0147,2194550,-0.0448,0.0786,6.2718
202010,94022,"los altos, ca",6036,8722,-263,-5170,35.814574,54.83567339,16.793474,48,0.0787,3.5,0.5738,17.5,-5,0.0141,0.125,0.5294,3685050,0.0841,-0.0779,10.5316
202010,94578,"san leandro, ca",1838,539,434,-307,90.077653,95.30943603,84.84587026,23,-0.193,-5.5,-0.2333,-7,-30,-0.0487,0.6944,1.7941,687050,0.0497,0,1.9634
202010,94025,"menlo park, ca",1330,7722,1667,-2323,42.128794,73.08808534,11.16950349,38,-0.2323,-11.5,0.1176,4,-15,-0.0484,0.18,0.4338,2098050,-0.0122,-0.1603,5.996
202010,94606,"oakland, ca",1717,6999,-1853,-5668,46.662483,71.25264727,22.0723194,39,0.0986,3.5,0.2581,8,-14,-0.2719,-0.117,0.6103,799050,0.1036,0.3339,2.2835
202010,94087,"sunnyvale, ca",480,6741,-39,-2015,48.042984,87.6774649,8.408502628,30,-0.0476,-1.5,0.1321,3.5,-23,-0.1811,0,0.3824,1998050,0.0494,0.0691,5.7102
202010,94518,"concord, ca",3998,358,885,598,92.493529,95.30943603,89.67762177,23,-0.2698,-8.5,-0.3333,-11.5,-30,0.092,1.5514,2.0074,750050,0.0571,0.0424,2.1435
202010,94551,"livermore, ca",1974,411,177,-171,91.752294,87.6774649,95.8271237,30,-0.0164,-0.5,-0.0476,-1.5,-23,-0.0171,1.363,2.5368,749950,-0.062,0.0141,2.1432
202010,94565,"pittsburg, ca",75,706,627,721,88.277512,86.18715193,90.36787199,31,-0.0746,-2.5,-0.2619,-11,-22,0.0817,1.5388,2.0441,499050,-9.00E-04,0.0708,1.4261
202010,94804,"richmond, ca",1901,2748,329,51,72.05271,96.01537375,48.09004628,22,-0.2667,-8,-0.3714,-13,-31,-0.1336,0.7852,0.9779,560050,0.0136,0.1934,1.6005
202010,94587,"union city, ca",338,2320,85,395,74.947055,87.6774649,62.21664444,30,-0.0625,-2,-0.1667,-6,-23,-0.1105,1.1569,1.2132,850050,0.0241,-0.0329,2.4293
202010,94610,"oakland, ca",1626,4903,1635,-2422,58.616362,92.36018511,24.87253902,27,-0.2987,-11.5,0.0385,1,-26,-0.0588,0.2138,0.6471,729050,0.0489,-0.3324,2.0835
202010,95126,"san jose, ca",1777,5744,1260,-521,53.702251,90.67377834,16.73072398,28,-0.2222,-8,-0.3171,-13,-25,-0.0137,0.2414,0.5294,1075050,-0.006,0.1123,3.0723
202010,94550,"livermore, ca",864,420,219,582,91.528747,86.18715193,96.87034277,31,-0.0606,-2,-0.2874,-12.5,-22,-0.0732,1.6691,2.6985,900000,0.0038,6.00E-04,2.572
202010,94598,"walnut creek, ca",3784,1023,-264,-785,85.155698,84.75958899,85.55180798,32,0.1636,4.5,-0.0986,-3.5,-21,-0.0998,0.3894,1.8235,1150050,0.0483,0.1448,3.2867
202010,94513,"brentwood, ca",584,2122,49,-190,76.315789,66.07577065,86.5558083,42,-0.0345,-1.5,-0.1064,-5,-11,-0.1306,1.2896,1.8603,749950,0.047,0.145,2.1432
202010,94595,"walnut creek, ca",4345,5890,-8,-5101,52.835517,71.25264727,34.41838576,39,-0.037,-1.5,0.3,9,-14,-0.0901,0,0.7794,549050,0.0363,-0.0963,1.569
202010,94612,"oakland, ca",4341,7116,-1387,-2680,45.976155,87.6774649,4.274845086,30,0.2245,5.5,0.0526,1.5,-23,-0.4507,-0.2973,0.2868,734050,-0.0517,-0.0813,2.0977
202010,94306,"palo alto, ca",3515,5686,-1216,-3291,54.031689,92.36018511,15.70319241,27,-0.069,-2,0.2,4.5,-26,-0.3665,-0.0345,0.5147,2700049,0,-0.0985,7.7165
202010,94028,"portola valley, ca",11414,7133,1963,1635,45.885952,68.73480273,23.03710095,41,-0.2679,-15,-0.1633,-8,-12,-0.0957,1.125,0.625,4198050,-0.0063,-0.018,11.9977
202010,94089,"sunnyvale, ca",5796,5482,894,1223,55.176877,92.36018511,17.99356812,27,0.125,3,-0.1692,-5.5,-26,0.5306,0.9231,0.5515,1250050,-0.0552,0.013,3.5724
