SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-8-2020,Single Family Residential,123 Laurelwood Dr,Danville,CA,94506,2350000,4,3.5,Northridge,4447,27880,1995,56,528,82,Sold,,,http://www.redfin.com/CA/Danville/123-Laurelwood-Dr-94506/home/1895838,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40918918,N,Y,37.8106534,-121.9300004
PAST SALE,November-30-2020,Single Family Residential,1296 Ariel Dr,Danville,CA,94506,1980000,4,4.5,Wendt Ranch,4383,10226,2005,3,452,100,Sold,,,http://www.redfin.com/CA/Danville/1296-Ariel-Dr-94506/home/23355032,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40919560,N,Y,37.7935289,-121.8871011
PAST SALE,June-22-2020,Single Family Residential,4 Brightwood Way,Danville,CA,94506,2369000,5,4.5,Magee Ranch,4470,20429,1999,164,530,95,Sold,,,http://www.redfin.com/CA/Danville/4-Brightwood-Way-94506/home/969096,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40903006,N,Y,37.8243122,-121.9437336
PAST SALE,September-1-2020,Single Family Residential,5 Diablo Way,Danville,CA,94526-2803,1490000,4,3,Danville,3239,15125,1946,93,460,,Sold,,,http://www.redfin.com/CA/Danville/5-Diablo-Way-94526/home/1515549,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40908918,N,Y,37.8240675,-121.9864554
PAST SALE,September-29-2020,Single Family Residential,676 Gwen Ct,Danville,CA,94526-2833,1700000,5,3,Woodmont,2945,15000,1985,65,577,,Sold,,,http://www.redfin.com/CA/Danville/676-Gwen-Ct-94526/home/1969289,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40916130,N,Y,37.8255488,-121.9803247
PAST SALE,October-3-2020,Single Family Residential,474 Live Oak Dr,Danville,CA,94506,1299900,3,2,Blackhawk C. C.,1840,6136,1982,61,706,189,Sold,,,http://www.redfin.com/CA/Danville/474-Live-Oak-Dr-94506/home/666087,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40923723,N,Y,37.8270552,-121.920244
PAST SALE,November-19-2020,Single Family Residential,10 Shelterwood Pl,Danville,CA,94506,1735000,5,3.5,Lawrence Estates,3164,15000,1999,14,548,160,Sold,,,http://www.redfin.com/CA/Danville/10-Shelterwood-Pl-94506/home/1812210,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40924055,N,Y,37.7935851,-121.8990612
PAST SALE,,Single Family Residential,165 Ramona Rd,Danville,CA,94526,1060000,4,3,,2666,14375,1997,,398,,,,,http://www.redfin.com/CA/Danville/165-Ramona-Rd-94526/home/977354,,,N,Y,37.8233279,-121.9817464
PAST SALE,August-21-2020,Single Family Residential,502 La Mancha Ct,Danville,CA,94526,1585000,4,3,Diablo West,2696,11550,1977,104,588,92,Sold,,,http://www.redfin.com/CA/Danville/502-La-Mancha-Ct-94526/home/647582,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40912409,N,Y,37.816953,-121.9820351
PAST SALE,August-25-2020,Single Family Residential,441 El Capitan Dr,Danville,CA,94526,1155000,3,2,Danville Station,1691,9000,1976,100,683,113,Sold,,,http://www.redfin.com/CA/Danville/441-El-Capitan-Dr-94526/home/985587,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40912629,N,Y,37.8005606,-121.9852115
PAST SALE,,Single Family Residential,19 Cedar Hollow Dr,Danville,CA,94526,997000,4,3,,2149,3800,1996,,464,,,,,http://www.redfin.com/CA/Danville/19-Cedar-Hollow-Dr-94526/home/1049240,,,N,Y,37.8258714,-122.0001593
PAST SALE,September-28-2020,Single Family Residential,83 Highbridge Ct,Danville,CA,94526,1377000,3,2.5,Woodbine,2263,9600,1983,66,608,62,Sold,,,http://www.redfin.com/CA/Danville/83-Highbridge-Ct-94526/home/910295,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40914672,N,Y,37.8273552,-121.9934075
PAST SALE,September-3-2020,Townhouse,394 Ilo Ln #702,Danville,CA,94526,505000,2,1.5,Danville Townhms,1012,875,1964,91,499,575,Sold,,,http://www.redfin.com/CA/Danville/394-Ilo-Ln-94526/unit-702/home/1485010,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906280,N,Y,37.8264847,-121.9969046
PAST SALE,September-25-2020,Single Family Residential,675 Sheri Ln,Danville,CA,94526,1905000,4,3,Westside Danvill,2479,15000,1979,69,768,,Sold,,,http://www.redfin.com/CA/Danville/675-Sheri-Ln-94526/home/1914613,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40915881,N,Y,37.8112414,-121.9992487
PAST SALE,,Single Family Residential,253 Remington Loop,Danville,CA,94526,250000,4,3,,3308,19000,1977,,76,,,,,http://www.redfin.com/CA/Danville/253-Remington-Loop-94526/home/1868347,,,N,Y,37.8104435,-122.0026244
PAST SALE,June-26-2020,Single Family Residential,219 Montego Dr,Danville,CA,94526,1655000,4,3,Westside Danvill,2106,12750,1958,160,786,,Sold,,,http://www.redfin.com/CA/Danville/219-Montego-Dr-94526/home/1886856,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40908030,N,Y,37.8074358,-121.995362
PAST SALE,,Single Family Residential,110 Elworthy Ranch Dr,Danville,CA,94526,910000,3,3,,1752,2647,2014,,519,,,,,http://www.redfin.com/CA/Danville/110-Elworthy-Ranch-Dr-94526/home/52205738,,,N,Y,37.8003261,-121.9890097
PAST SALE,June-9-2020,Single Family Residential,440 Glasgow Cir,Danville,CA,94526,1205000,4,3,Diablo Highlands,2528,5600,1996,177,477,137,Sold,,,http://www.redfin.com/CA/Danville/440-Glasgow-Cir-94526/home/1706859,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40904109,N,Y,37.8168356,-121.9616863
PAST SALE,July-2-2020,Single Family Residential,260 Edinburgh Cir,Danville,CA,94526,1925000,5,4.5,Diablo Highlands,4351,9400,1993,154,442,92,Sold,,,http://www.redfin.com/CA/Danville/260-Edinburgh-Cir-94526/home/921281,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905630,N,Y,37.8206072,-121.9699507
