Rank,Median Household Income,Zip , Population
486,72739,95628 ,"40,767"
487,72720,94558 ,"67,967"
488,72607,95444 ,774
489,72479,92352 ,"6,783"
490,72465,92675 ,"35,596"
491,72459,95133 ,"27,381"
491,72459,95661 ,"30,559"
493,72452,95258 ,"3,973"
494,72411,94508 ,"4,118"
495,72366,90403 ,"25,116"
496,72279,94401 ,"36,838"
497,72276,90807 ,"33,726"
498,72255,91007 ,"34,198"
499,72218,95209 ,"41,459"
500,72212,93455 ,"42,513"
501,72204,96140 ,"1,126"
502,72192,91106 ,"24,861"
503,72168,91016 ,"42,235"
504,72161,95018 ,"7,660"
505,72156,95405 ,"21,516"
506,72120,95254 ,682
507,72025,90803 ,"30,805"
508,71939,90240 ,"26,287"
509,71911,92123 ,"29,240"
510,71825,91710 ,"83,042"
511,71793,92882 ,"70,188"
512,71757,90745 ,"57,727"
513,71723,94545 ,"30,936"
514,71697,92253 ,"38,462"
515,71688,92270 ,"17,634"
516,71668,94014 ,"48,536"
517,71667,94933 ,"1,069"
518,71661,91941 ,"33,474"
519,71505,94112 ,"83,032"
520,71469,92624 ,"6,450"
521,71316,90232 ,"15,353"
522,71307,92122 ,"44,602"
523,71301,95417 ,170
524,71296,91504 ,"25,544"
525,71278,90025 ,"45,284"
526,71177,94580 ,"29,311"
527,71063,95920 ,417
528,71049,90036 ,"36,425"
529,71000,92358 ,"1,127"
530,70938,95633 ,"3,247"
531,70935,94501 ,"62,571"
532,70858,91351 ,"32,433"
533,70841,90601 ,"34,143"
533,70841,91791 ,"33,174"
535,70830,91040 ,"20,017"
536,70820,95648 ,"48,869"
537,70811,91104 ,"38,421"
538,70781,96128 ,758
539,70724,93536 ,"71,313"
540,70721,94585 ,"29,205"
541,70692,95127 ,"64,498"
542,70417,95709 ,"4,953"
543,70408,91506 ,"18,428"
544,70380,92591 ,"39,767"
545,70261,92119 ,"23,926"
546,70230,93950 ,"15,365"
547,70220,94121 ,"42,043"
548,70096,95128 ,"37,026"
549,70003,95758 ,"62,099"
550,69966,92337 ,"37,844"
551,69942,90211 ,"8,080"
552,69872,95005 ,"6,615"
553,69760,95524 ,"1,902"
554,69750,95703 ,"1,065"
555,69702,92347 ,"1,554"
555,69702,95607 ,315
557,69688,96114 ,"3,315"
558,69678,95023 ,"50,625"
559,69616,93003 ,"51,454"
560,69583,95677 ,"22,808"
561,69341,95050 ,"37,714"
562,69205,92003 ,"4,306"
563,69171,92344 ,"21,392"
564,69148,91356 ,"29,847"
565,69055,93723 ,"9,271"
566,68887,96145 ,"3,215"
567,68884,93013 ,"15,944"
568,68813,94602 ,"29,794"
569,68804,95472 ,"29,408"
570,68701,94572 ,"9,648"
571,68693,95110 ,"19,239"
572,68679,95831 ,"41,597"
573,68636,92378 ,166
573,68636,95465 ,"2,328"
575,68620,92587 ,"16,787"
576,68346,90066 ,"58,337"
577,68333,92061 ,"1,824"
578,68261,92518 ,"1,129"
579,68108,92029 ,"19,528"
580,68078,93907 ,"21,812"
581,68027,92203 ,"27,466"
582,67917,93563 ,375
583,67878,90755 ,"11,400"
584,67718,95117 ,"32,074"
585,67716,93940 ,"33,760"
586,67652,91020 ,"9,249"
587,67639,95316 ,"6,733"
588,67607,94519 ,"19,927"
589,67500,93449 ,"7,789"
590,67383,93103 ,"20,271"
591,67188,95004 ,"3,886"
592,67170,90039 ,"27,843"
593,67048,91740 ,"26,324"
594,67039,92612 ,"29,325"
595,67031,95017 ,654
596,67025,92109 ,"45,304"
597,67019,92833 ,"53,309"
598,67001,95404 ,"40,253"
