property_type,zipcode,price,beds,baths,sqft,lot_size,days_on_market,price_per_sqft,hoa_month,property_age,school_rating,school_count,median_income,hotness_score,supply_score,demand_score,university_count,barts,malls,universities,bedBath,AvgRoomSize
0,94588,1107000,4,3,2523,6371,111,439,0.0,51,9,6,134451,85.91,87.06,84.76,0,1,1,0,12,360.429
0,94566,1378000,4,2,2051,7477,108,672,0.0,43,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,341.833
0,94588,1160000,3,2,1813,9290,177,640,0.0,51,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,362.6
0,94586,1225000,3,2,1946,13190,84,629,40.0,61,10,1,89505,82.0071573604059,87.33157475773004,76.68402976465252,0,0,0,0,6,389.2
0,94588,1210000,4,2,2004,5996,122,604,44.0,51,9,6,134451,85.91,87.06,84.76,0,1,1,0,8,334.0
0,94566,1370000,3,2,2401,5500,134,571,54.0,17,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,480.2
0,94566,1735000,6,5,3547,7612,136,489,0.0,18,8,9,126782,80.07,79.57,80.57,0,0,1,0,30,322.455
0,94588,920000,3,2,1767,6697,172,521,33.0,53,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,353.4
0,94566,1500000,6,3,2538,7687,106,591,0.0,54,8,9,126782,80.07,79.57,80.57,0,0,1,0,18,282.0
2,94588,710000,2,2,1502,1460,18,473,350.0,32,9,6,134451,85.91,87.06,84.76,0,1,1,0,4,375.5
0,94566,1100000,4,2,1838,5102,176,598,135.0,26,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,306.333
0,94566,1414000,5,2,2415,8000,78,586,42.0,48,8,9,126782,80.07,79.57,80.57,0,0,1,0,10,345.0
0,94566,1335000,4,2,1902,8303,29,702,0.0,37,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,317.0
0,94566,870000,3,2,1484,2850,39,586,276.0,32,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,296.8
0,94568,1050000,4,2,2069,2726,157,507,232.0,4,8,11,119637,83.72,94.25,73.19,0,1,0,0,8,344.833
0,94568,1007000,4,4,2210,1680,157,456,215.0,4,8,11,119637,83.72,94.25,73.19,0,1,0,0,16,276.25
0,94568,1120000,3,2,2258,2760,66,496,234.0,2,8,11,119637,83.72,94.25,73.19,0,1,0,0,6,451.6
0,94566,1350000,4,3,2373,9908,119,569,0.0,49,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,339.0
0,94566,860000,3,2,1246,3486,126,690,0.0,43,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,249.2
0,94566,1367000,2,2,2372,5132,130,576,225.0,8,8,9,126782,80.07,79.57,80.57,0,0,1,0,4,593.0
0,94566,1260000,4,3,2146,6746,112,587,0.0,50,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,306.571
2,94588,995000,4,2,1856,2843,112,536,210.0,23,9,6,134451,85.91,87.06,84.76,0,1,1,0,8,309.333
0,94588,1150000,3,2,1668,6914,126,689,33.0,48,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,333.6
0,94588,1059000,4,2,2330,3397,89,455,214.0,28,9,6,134451,85.91,87.06,84.76,0,1,1,0,8,388.333
0,94588,1510000,5,3,2541,9706,111,594,0.0,32,9,6,134451,85.91,87.06,84.76,0,1,1,0,15,317.625
0,94588,1400000,4,2,2104,7362,3,665,33.0,52,9,6,134451,85.91,87.06,84.76,0,1,1,0,8,350.667
0,94566,1475000,4,2,2193,14296,77,673,0.0,50,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,365.5
0,94588,1100000,4,2,1738,3731,1,633,12.0,36,9,6,134451,85.91,87.06,84.76,0,1,1,0,8,289.667
0,94588,1270000,4,2,2054,9070,98,618,0.0,40,9,6,134451,85.91,87.06,84.76,0,1,1,0,8,342.333
0,94588,1113000,3,2,2058,7718,91,541,0.0,52,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,411.6
0,94588,1237000,3,2,1673,7943,45,739,0.0,36,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,334.6
0,94566,1715000,5,3,3200,7127,50,536,0.0,32,8,9,126782,80.07,79.57,80.57,0,0,1,0,15,400.0
0,94588,1495000,4,3,3021,5949,57,495,380.0,27,9,6,134451,85.91,87.06,84.76,0,1,1,0,12,431.571
0,94566,1446125,5,3,3100,7000,168,466,0.0,32,8,9,126782,80.07,79.57,80.57,0,0,1,0,15,387.5
0,94566,825000,2,2,1241,4094,143,665,0.0,36,8,9,126782,80.07,79.57,80.57,0,0,1,0,4,310.25
0,94566,1750000,4,4,3673,4000,100,476,271.0,5,8,9,126782,80.07,79.57,80.57,0,0,1,0,16,459.125
0,94588,1575000,4,4,3318,5760,39,475,0.0,42,9,6,134451,85.91,87.06,84.76,0,1,1,0,16,414.75
0,94588,1290000,3,2,2523,6766,65,511,380.0,30,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,504.6
1,94588,499000,2,1,903,0,98,553,340.0,49,9,6,134451,85.91,87.06,84.76,0,1,1,0,2,301.0
0,94566,1305000,4,2,1894,7527,52,689,0.0,54,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,315.667
0,94566,1410000,4,2,2780,5465,126,507,110.0,18,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,463.333
0,94566,1310000,4,2,2303,6935,147,569,0.0,56,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,383.833
0,94566,1245000,3,2,1600,4663,84,778,65.0,37,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,320.0
